iter	Passed	Remaining
423	2118	2877
424	2132	2885
425	2136	2878
426	2138	2870
427	2140	2861
428	2142	2852
429	2145	2843
430	2150	2839
431	2153	2831
432	2155	2822
433	2158	2814
434	2163	2810
435	2165	2801
436	2167	2792
437	2169	2784
438	2171	2775
439	2173	2766
440	2178	2761
441	2181	2753
442	2183	2745
443	2186	2737
444	2188	2729
445	2190	2721
446	2193	2713
447	2195	2705
448	2197	2696
449	2199	2688
450	2201	2680
451	2204	2672
452	2209	2667
453	2211	2659
454	2214	2651
455	2216	2644
456	2221	2639
457	2223	2631
458	2226	2623
459	2228	2615
460	2230	2607
461	2236	2604
462	2239	2596
463	2241	2589
464	2243	2581
465	2246	2573
466	2250	2568
467	2252	2560
468	2254	2552
469	2257	2545
470	2259	2537
471	2266	2535
472	2269	2528
473	2271	2521
474	2274	2513
475	2276	2506
476	2282	2502
477	2286	2496
478	2288	2489
479	2291	2482
480	2297	2478
481	2302	2474
482	2305	2467
483	2308	2460
484	2312	2455
485	2317	2450
486	2319	2443
487	2322	2436
488	2326	2431
489	2329	2424
490	2344	2430
491	2346	2423
492	2349	2415
493	2353	2410
494	2356	2403
495	2358	2396
496	2360	2388
497	2362	2381
498	2364	2374
499	2368	2368
500	2371	2361
501	2373	2354
502	2376	2348
503	2379	2341
504	2384	2336
505	2386	2330
506	2389	2323
507	2391	2316
508	2393	2308
509	2395	2301
510	2399	2296
511	2402	2290
512	2405	2283
513	2409	2278
514	2413	2273
515	2415	2266
516	2417	2258
517	2420	2251
518	2422	2244
519	2429	2242
520	2431	2235
521	2434	2229
522	2436	2222
523	2438	2215
524	2441	2208
525	2446	2204
526	2448	2197
527	2450	2190
528	2453	2184
529	2455	2177
530	2459	2172
531	2466	2169
532	2469	2163
533	2471	2157
534	2477	2153
535	2479	2146
536	2481	2139
537	2483	2132
538	2485	2126
539	2488	2119
540	2492	2114
541	2495	2108
542	2497	2101
543	2499	2095
544	2502	2088
545	2507	2084
546	2509	2078
547	2511	2071
548	2513	2065
549	2517	2059
550	2528	2060
551	2530	2053
552	2532	2047
553	2537	2042
554	2539	2036
555	2541	2029
556	2544	2023
557	2547	2017
558	2549	2011
559	2556	2009
560	2559	2002
561	2561	1996
562	2564	1990
563	2568	1985
564	2571	1979
565	2574	1974
566	2577	1968
567	2579	1962
568	2584	1957
569	2586	1951
570	2588	1944
571	2590	1938
572	2596	1934
573	2600	1930
574	2603	1924
575	2607	1919
576	2609	1913
577	2611	1906
578	2614	1901
579	2618	1895
580	2620	1889
581	2623	1884
582	2662	1904
583	2665	1898
584	2668	1892
585	2670	1886
586	2672	1880
587	2677	1876
588	2680	1870
589	2682	1864
590	2685	1858
591	2694	1856
592	2696	1850
593	2698	1844
594	2700	1837
595	2705	1833
596	2708	1828
597	2710	1822
598	2712	1815
599	2714	1809
600	2716	1803
601	2718	1797
602	2722	1792
603	2723	1785
604	2725	1779
605	2727	1773
606	2728	1766
607	2730	1760
608	2732	1754
609	2738	1750
610	2740	1744
611	2744	1739
612	2746	1734
613	2751	1730
614	2755	1724
615	2757	1718
616	2759	1713
617	2761	1707
618	2766	1703
619	2769	1697
620	2772	1691
621	2774	1686
622	2777	1680
623	2781	1675
624	2783	1670
625	2786	1664
626	2788	1658
627	2790	1653
628	2793	1647
629	2797	1642
630	2799	1637
631	2802	1631
632	2804	1626
633	2807	1620
634	2811	1616
635	2814	1610
636	2816	1604
637	2829	1605
638	2834	1601
639	2836	1595
640	2838	1589
641	2842	1585
642	2845	1579
643	2848	1574
644	2850	1568
645	2858	1566
646	2861	1561
647	2863	1555
648	2866	1550
649	2868	1544
650	2869	1538
651	2871	1532
652	2875	1527
653	2876	1521
654	2878	1516
655	2880	1510
656	2881	1504
657	2883	1498
658	2885	1493
659	2889	1488
660	2891	1483
661	2893	1477
662	2895	1471
663	2896	1465
664	2898	1460
665	2900	1454
666	2905	1450
667	2907	1445
668	2909	1439
669	2911	1433
670	2912	1428
671	2914	1422
672	2921	1419
673	2924	1414
674	2927	1409
675	2929	1404
676	2931	1398
677	2936	1394
678	2938	1389
679	2940	1383
680	2942	1378
681	2944	1373
682	2947	1368
683	2951	1363
684	2953	1358
685	2955	1352
686	2958	1347
687	2959	1342
688	2961	1336
689	2964	1332
690	2966	1326
691	2968	1321
692	2970	1315
693	2972	1310
694	2974	1305
695	2976	1299
696	2980	1295
697	2982	1290
698	2983	1284
699	2985	1279
700	2987	1274
701	2989	1268
702	2992	1264
703	2994	1258
704	2996	1253
705	2998	1248
706	3000	1243
707	3001	1238
708	3003	1232
709	3005	1227
710	3007	1222
711	3009	1217
712	3011	1212
713	3013	1206
714	3014	1201
715	3017	1197
716	3021	1192
717	3023	1187
718	3025	1182
719	3027	1177
720	3029	1172
721	3031	1167
722	3032	1161
723	3036	1157
724	3037	1152
725	3040	1147
726	3042	1142
727	3046	1138
728	3048	1133
729	3051	1128
730	3053	1123
731	3055	1118
732	3057	1113
733	3058	1108
734	3060	1103
735	3062	1098
736	3065	1093
737	3067	1088
738	3069	1083
739	3070	1078
740	3072	1073
741	3074	1068
742	3076	1064
743	3078	1059
744	3082	1054
745	3083	1049
746	3085	1045
747	3087	1040
748	3089	1035
749	3091	1030
750	3092	1025
751	3096	1021
752	3097	1016
753	3099	1011
754	3101	1006
755	3103	1001
756	3105	996
757	3106	991
758	3110	987
759	3113	983
760	3118	979
761	3120	974
762	3126	970
763	3129	966
764	3130	961
765	3132	956
766	3134	952
767	3136	947
768	3138	942
769	3141	938
770	3143	933
771	3145	929
772	3147	924
773	3152	920
774	3155	916
775	3157	911
776	3159	906
777	3160	901
778	3162	897
779	3164	892
780	3166	887
781	3168	883
782	3172	879
783	3174	874
784	3176	869
785	3178	865
786	3179	860
787	3181	856
788	3183	851
789	3186	847
790	3188	842
791	3190	837
792	3192	833
793	3194	828
794	3196	824
795	3199	819
796	3201	815
797	3204	811
798	3206	806
799	3208	802
800	3210	797
801	3217	794
802	3219	789
803	3221	785
804	3223	780
805	3225	776
806	3227	771
807	3231	767
808	3234	763
809	3236	759
810	3239	754
811	3241	750
812	3243	745
813	3247	742
814	3252	738
815	3254	733
816	3256	729
817	3258	724
818	3260	720
819	3263	716
820	3265	711
821	3267	707
822	3269	703
823	3271	698
824	3273	694
825	3278	690
826	3280	686
827	3282	681
828	3284	677
829	3286	673
830	3288	668
831	3293	665
832	3295	660
833	3298	656
834	3300	652
835	3302	647
836	3306	644
837	3309	639
838	3313	635
839	3315	631
840	3317	627
841	3320	623
842	3322	618
843	3324	614
844	3327	610
845	3329	606
846	3331	601
847	3332	597
848	3336	593
849	3338	589
850	3340	584
851	3342	580
852	3347	576
853	3350	572
854	3352	568
855	3354	564
856	3356	559
857	3357	555
858	3359	551
859	3361	547
860	3366	543
861	3368	539
862	3371	535
863	3373	531
864	3375	526
865	3377	522
866	3381	518
867	3384	514
868	3386	510
869	3388	506
870	3391	502
871	3392	498
872	3396	494
873	3398	489
874	3401	485
875	3403	481
876	3404	477
877	3406	473
878	3410	469
879	3412	465
880	3414	461
881	3416	457
882	3418	452
883	3420	448
884	3421	444
885	3425	440
886	3427	436
887	3429	432
888	3431	428
889	3433	424
890	3437	420
891	3441	416
892	3443	412
893	3445	408
894	3446	404
895	3448	400
896	3450	396
897	3451	392
898	3453	387
899	3455	383
900	3456	379
901	3458	375
902	3460	371
903	3462	367
904	3463	363
905	3465	359
906	3469	355
907	3471	351
908	3473	347
909	3475	343
910	3477	339
911	3478	335
912	3480	331
913	3484	327
914	3485	323
915	3487	319
916	3489	315
917	3490	311
918	3495	308
919	3496	304
920	3498	300
921	3500	296
922	3501	292
923	3503	288
924	3504	284
925	3506	280
926	3507	276
927	3509	272
928	3511	268
929	3513	264
930	3514	260
931	3516	256
932	3518	252
933	3519	248
934	3521	244
935	3525	241
936	3529	237
937	3530	233
938	3532	229
939	3534	225
940	3535	221
941	3537	217
942	3541	214
943	3543	210
944	3545	206
945	3546	202
946	3548	198
947	3550	194
948	3552	190
949	3556	187
950	3557	183
951	3559	179
952	3561	175
953	3563	171
954	3564	167
955	3566	164
956	3570	160
957	3572	156
958	3573	152
959	3575	148
960	3577	145
961	3579	141
962	3581	137
963	3586	133
964	3588	130
965	3589	126
966	3591	122
967	3593	118
968	3595	115
969	3596	111
970	3600	107
971	3602	103
972	3603	100
973	3605	96
974	3607	92
975	3609	88
976	3610	85
977	3612	81
978	3616	77
979	3617	73
980	3619	70
981	3621	66
982	3623	62
983	3625	58
984	3631	55
985	3632	51
986	3634	47
987	3636	44
988	3638	40
989	3640	36
990	3642	33
991	3646	29
992	3647	25
993	3649	22
994	3651	18
995	3653	14
996	3655	10
997	3656	7
998	3660	3
999	3662	0
